FirstName,Surname,Location,Phone,Computer,Expenses
Cruz,Sanchez,Latour,0498 839 798,PC-1,"$2,421.24"
Shafira,Webb,Goes,0478 644 917,PC-2,$534.06
Robert,Burks,Tongerlo,0413 864 477,PC-3,$614.21
Martha,Calderon,Veenendaal,0411 872 126,PC-4,"$4,263.87"
Blaze,Alvarez,Anjou,0474 848 594,PC-5,"$3,726.41"
Keelie,Gibbs,Segovia,0452 614 718,PC-6,"$8,861.40"
Paula,Bartlett,Völklingen,0413 599 172,PC-7,"$3,544.60"
Herman,Guthrie,Buren,0476 183 695,PC-8,"$9,102.24"
Callum,Ayers,Brescia,0497 348 786,PC-9,"$8,605.50"
Zeus,Garcia,Gillette,0427 915 945,PC-10,"$7,796.95"
Odysseus,Blanchard,Wilskerke,0478 257 793,PC-11,"$5,033.28"
Howard,Mullins,Tulita,0431 495 774,PC-12,$939.79
Forrest,Hooper,Ciplet,0442 694 725,PC-13,"$2,703.58"
Dane,Chavez,Caucaia,0484 938 974,PC-14,"$8,119.66"
Ethan,Warren,Gaziantep,0457 571 113,PC-15,$507.09
Neil,Mcpherson,Dunkerque,0481 383 142,PC-16,"$2,787.30"
Galena,Mullen,Grande Prairie,0438 213 717,PC-17,"$9,684.61"
Kelly,Rogers,Monte San Giovanni in Sabina,0461 858 556,PC-18,"$2,151.45"
Nora,Travis,Reading,0482 489 385,PC-19,"$6,551.31"
Warren,Rivera,Sint-Pieters-Leeuw,0431 691 899,PC-20,"$8,250.95"
Sharon,Hopkins,Regina,0415 455 361,PC-21,"$9,453.56"
Maile,Dennis,Ligny,0444 767 675,PC-22,"$4,807.67"
Mallory,Valenzuela,Comano,0435 873 558,PC-23,"$7,127.99"
Sharon,Skinner,Kallo,0458 557 591,PC-24,$411.36
Allegra,Byers,Kitchener,0471 847 444,PC-25,"$3,965.76"
Liberty,Santiago,Porretta Terme,0473 184 387,PC-26,"$7,605.29"
Sylvia,Garner,Acciano,0411 779 932,PC-27,"$8,991.82"
Harriet,Sharpe,Canmore,0472 777 448,PC-28,"$7,318.12"
Ina,Kent,Donosti,0434 195 627,PC-29,$729.77
Madison,Hall,Verona,0456 183 282,PC-30,"$1,948.35"
Kirby,Hays,Sant'Urbano,0471 268 449,PC-31,"$5,738.91"
Lee,Cox,Gespeg,0467 448 121,PC-32,"$8,394.34"
Isabella,Browning,Beypazar?,0432 898 394,PC-33,"$4,798.08"
Minerva,Mullins,Hope,0493 963 793,PC-34,"$4,376.29"
Claudia,Singleton,Linkebeek,0443 472 939,PC-35,"$9,486.65"
David,Flynn,Timkur,0453 449 988,PC-36,"$9,359.35"
Calvin,Gallagher,South Bend,0476 925 451,PC-37,"$3,489.38"
Levi,Cook,Grand Falls,0443 214 122,PC-38,"$5,517.76"
Wanda,Velez,Purranque,0426 767 262,PC-39,"$6,008.00"
Cairo,Wilcox,Tire,0459 428 631,PC-40,"$2,622.69"
Nehru,Elliott,Comox,0479 526 347,PC-41,"$5,992.59"
Chaim,Irwin,Chestermere,0497 221 513,PC-42,"$7,020.67"
Chester,Lindsay,Vitrolles,0477 399 859,PC-43,$500.73
Hyatt,Forbes,San Pietro Mussolino,0455 621 971,PC-44,"$8,815.99"
Linus,Malone,Girifalco,0438 797 999,PC-45,"$7,362.50"
Mason,Kaufman,Rajkot,0462 727 846,PC-46,"$5,494.95"
Michael,Stark,Panketal,0435 972 432,PC-47,"$1,962.87"
Xanthus,Castillo,Olathe,0449 948 883,PC-48,"$4,036.72"
Emily,Christensen,Shimoga,0436 539 547,PC-49,$643.71
